n,mean_time_s,std_time_s,avg_devices_charged
200,6.588297e-05,1.3286350850026508e-06,42.29
400,0.00013136874999999996,1.5915017648435084e-06,59.34
800,0.00026790289,3.1326896363827676e-06,81.31
1600,0.00054101286,4.348589063179002e-06,111.08
3200,0.0011215325099999994,0.00011549506730042587,149.34
6400,0.00231736166,0.0002939075621015975,197.65
