n,dc_mean_time_s,dc_std_time_s,dc_avg_comparisons,dc_theoretical_comparisons,naive_mean_time_s,naive_std_time_s,naive_avg_comparisons
200,3.756000999999999e-05,1.3347570752387872e-06,298.0,298,1.641337e-05,9.408981400768108e-08,398.0
400,7.918204999999999e-05,2.020556999319742e-06,598.0,598,3.4497089999999984e-05,1.229627261368257e-06,798.0
800,0.00016236840000000006,4.601458849104271e-06,1198.0,1198,7.246116000000001e-05,5.95478218866148e-06,1598.0
1600,0.0003584524999999997,0.00029253037513983054,2398.0,2398,0.00014640668,1.8222377500205613e-06,3198.0
3200,0.0006614708399999999,1.7561997311649944e-05,4798.0,4798,0.00029650125000000004,5.4899623411732034e-06,6398.0
6400,0.0013981470399999998,0.0004296591103525891,9598.0,9598,0.0005973733700000003,1.0845868259069906e-05,12798.0
12800,0.00269630457,0.0003929217260669676,19198.0,19198,0.00119191329,1.3604551816428943e-05,25598.0
